GEOID,Year,Score,Confidence,normalized_score,cumulative_score,normalized_percentile,cumulative_percentile
18097310104,2024,-0.11024787213721518,High,-0.45927707231525033,-0.45927707231525033,30.5,30.5
18097310104,2025,-0.24852770824493065,High,-0.915423307680661,-1.3747003799959114,15.4,21.1
18097310104,2026,-0.21689643927318797,High,-0.7160123405984702,-2.0907127205943814,19.2,19.2
18097310104,2027,-0.25112243809654983,High,-0.8801952433555899,-2.9709079639499714,15.8,19.5
18097310104,2028,-0.21294159488719047,High,-0.6898273366430133,-3.660735300592985,17.7,18
18097310105,2024,5.3655438151844877E-2,High,0.29187019060143604,0.29187019060143604,62.8,62.8
18097310105,2025,1.1160818630308995E-2,High,0.1690937026921723,0.4609638932936083,56.8,59.8
18097310105,2026,1.4692090389697137E-3,High,0.16259586540400592,0.6235597586976143,54.5,58.3
18097310105,2027,-1.7322689031572233E-2,High,0.07359447151929008,0.6971542302169044,54.5,57.9
18097310105,2028,-1.8723972551776838E-2,High,0.07412672308912022,0.7712809533060245,54.1,56.8
18097310106,2024,0.28925866317057869,High,1.371608710189947,1.371608710189947,91.4,91.4
18097310106,2025,0.14555326759950402,High,0.7303464416041885,2.1019551517941357,76.3,89.1
18097310106,2026,0.34422233058053758,High,1.5416850561584614,3.643640207952597,94.7,92.5
18097310106,2027,0.27139054661114048,High,1.25140460949226,4.895044817444857,91.7,93.2
18097310106,2028,0.34869932410852045,High,1.5193844486678991,6.414429266112756,94.7,94.7
18097310108,2024,-0.13115926717275728,High,-0.5551112389163714,-0.5551112389163714,26.7,26.7
18097310108,2025,-8.4992210512826516E-2,High,-0.2324627193776543,-0.7875739582940257,44,30.1
18097310108,2026,-4.5643661404379914E-2,High,-0.0269657936747397,-0.8145397519687654,45.9,34.2
18097310108,2027,-9.4421861749789143E-2,High,-0.24093280345892215,-1.0554725554276876,40.2,35.3
18097310108,2028,-8.2429210210271997E-2,High,-0.17645751509786778,-1.2319300705255554,39.1,36.5
18097310110,2024,3.8406616564506599E-3,High,0.0635756372374374,0.0635756372374374,52.3,52.3
18097310110,2025,-5.4323917698548246E-2,High,-0.10438511180526154,-0.04080947456782415,47.7,49.2
18097310110,2026,-6.5706758695396245E-2,High,-0.10769095376271295,-0.14850042833053712,41.4,46.2
18097310110,2027,-8.7168032979663121E-2,High,-0.2113406961017544,-0.35984112443229155,42.5,44.4
18097310110,2028,-9.0306771551795173E-2,High,-0.2074438637889886,-0.5672849882212802,37.6,42.1
18097310111,2024,-9.0566060857278884E-3,High,0.00446915948201094,0.00446915948201094,49.6,49.6
18097310111,2025,-0.15364638426902805,High,-0.5191778090568506,-0.5147086495748396,28.2,38.7
18097310111,2026,-0.18244083215074788,High,-0.5773779931424206,-1.0920866427172602,24.1,31.2
18097310111,2027,-0.19964415133333585,High,-0.6701887713619546,-1.762275414079215,21.4,29.3
18097310111,2028,-0.19404494722480553,High,-0.6154974662460034,-2.3777728803252183,19.9,25.9
18097310112,2024,-0.57130023865380053,High,-2.5722192853762724,-2.5722192853762724,1.5,1.5
18097310112,2025,-0.90567775849727239,High,-3.659827985244332,-6.232047270620605,0,0
18097310112,2026,-0.77525525194837019,High,-2.962604872446352,-9.194652143066955,0.8,0
18097310112,2027,-0.93532136799301935,High,-3.671395425877112,-12.866047568944069,0,0
18097310112,2028,-0.80758800796157293,High,-3.0288660701559804,-15.89491363910005,0.4,0
18097310113,2024,-0.11290224933509366,Low,-0.4714417330741976,-0.4714417330741976,29.3,29.3
18097310113,2025,-0.66046701915281325,Low,-2.6357734336432666,-3.107215166717464,1.1,4.1
18097310113,2026,-0.49609704136274319,Low,-1.8393938889912975,-4.946609055708762,4.5,3.4
18097310113,2027,-0.61450388996854666,Low,-2.362615531477831,-7.309224587186593,1.9,2.6
18097310113,2028,-0.58162106261330826,Low,-2.140026204914778,-9.44925079210137,2.3,1.9
18097310201,2024,-7.3825963730299635E-2,High,-0.29236026775646573,-0.29236026775646573,36.5,36.5
18097310201,2025,-3.8102266361120254E-2,High,-0.03663989016044933,-0.32900015791691506,50.4,43.2
18097310201,2026,-9.8137665827676468E-2,High,-0.2381787908138633,-0.5671789487307783,35.7,38.7
18097310201,2027,-0.11486417441143222,High,-0.32432753610045684,-0.8915064848312352,33.1,38.7
18097310201,2028,-0.15058052860400162,High,-0.44453038993242666,-1.336036874763662,28.9,35
18097310203,2024,-0.12204543392874306,High,-0.5133437426782108,-0.5133437426782108,27.8,27.8
18097310203,2025,-0.19491813403903194,High,-0.691537809754625,-1.2048815524328358,21.4,23.3
18097310203,2026,-0.20110044854599349,High,-0.6524561577367202,-1.857337710169556,21.4,21.1
18097310203,2027,-0.19920678851298923,High,-0.6684045429297875,-2.5257422530993434,21.8,20.7
18097310203,2028,-0.18595771744457107,High,-0.5836863877851268,-3.1094286408844702,21.8,21.1
18097310204,2024,-0.11174770443687013,High,-0.4661506060146795,-0.4661506060146795,29.7,29.7
18097310204,2025,-0.10375925429942173,High,-0.31083806566606553,-0.776988671680745,37.2,30.5
18097310204,2026,-0.14423494324065145,High,-0.4236541461294341,-1.2006428178101791,28.6,30.8
18097310204,2027,-0.1302105634304439,High,-0.3869333689353508,-1.58757618674553,32,31.2
18097310204,2028,-0.12015443890552549,High,-0.32484951614033436,-1.912425702885864,32,31.6
18097310305,2024,4.0180411881483996E-3,High,0.06438854424643692,0.06438854424643692,52.6,52.6
18097310305,2025,-8.7577795010317955E-2,High,-0.2432606949487234,-0.1788721507022865,43.6,46.6
18097310305,2026,-0.10751453080789619,High,-0.2759072090970407,-0.4547793597993271,34.6,40.6
18097310305,2027,-0.11403055406613477,High,-0.3209267689284006,-0.7757061287277278,33.5,40.2
18097310305,2028,-0.11717090602394845,High,-0.31311380426302193,-1.0888199329907498,32.7,38
18097310306,2024,7.9249433978154676E-2,High,0.40916409929753694,0.40916409929753694,65.4,65.4
18097310306,2025,0.15345519626078002,High,0.7633466520910521,1.172510751388589,77.4,73.3
18097310306,2026,0.11432622070101867,High,0.6166832977342342,1.789194049122823,73.3,75.2
18097310306,2027,0.17941488314334914,High,0.8761884589822267,2.66538250810505,81.2,77.4
18097310306,2028,0.21396635067843708,High,0.9894129620747092,3.654795470179759,83.8,78.2
18097310308,2024,-7.6306267854686638E-2,High,-0.303727174568467,-0.303727174568467,35.3,35.3
18097310308,2025,-5.9765869546443182E-2,High,-0.12711191232928828,-0.4308390868977553,47.4,40.6
18097310308,2026,-0.12195773159507026,High,-0.334020354780157,-0.7648594416779123,32.7,35.3
18097310308,2027,-8.8478697601498069E-2,High,-0.21668757282406056,-0.9815470145019728,42.1,36.5
18097310308,2028,-0.12115114176797478,High,-0.3287700419348464,-1.3103170564368192,31.6,35.7
18097310309,2024,2.2325473032490148E-2,High,0.14828909083490296,0.14828909083490296,56,56
18097310309,2025,4.0254616797338987E-2,High,0.2905958706476193,0.4388849614825223,62.4,59.4
18097310309,2026,-8.0832533719654695E-2,High,-0.16855048071295473,0.27033448076956756,39.1,52.6
18097310309,2027,-5.8798599849713765E-2,High,-0.09560715214206315,0.1747273286275044,47,50.8
18097310309,2028,-9.9101927726448824E-2,High,-0.24203956723139264,-0.06731223860388823,35.7,48.1
18097310310,2024,-9.9308768887493695E-2,High,-0.4091446042747938,-0.4091446042747938,32,32
18097310310,2025,-0.21058398031355061,High,-0.756961865915426,-1.1661064701902195,21.1,24.1
18097310310,2026,-0.15814233247575415,High,-0.4796114196313735,-1.6457178898215934,26.7,24.4
18097310310,2027,-0.1936127947313119,High,-0.6455837582395737,-2.291301648061167,22.6,22.9
18097310310,2028,-0.16995093549395682,High,-0.5207237899148869,-2.812025437976054,23.7,23.3
18097310311,2024,-8.1649996710679032E-2,High,-0.3282167794267742,-0.3282167794267742,35,35
18097310311,2025,-0.16422279139074755,High,-0.5633472360629338,-0.891564015489708,25.6,28.9
18097310311,2026,-0.1416315432827665,High,-0.4131791992493535,-1.3047432147390614,29.3,29.7
18097310311,2027,-9.6381829309769587E-2,High,-0.24892852162232457,-1.553671736361386,39.1,32
18097310311,2028,-0.10429256248881551,High,-0.2624569034731499,-1.816128639834536,35.3,32.3
18097310312,2024,-4.550069596154465E-2,High,-0.16254929982446137,-0.16254929982446137,42.1,42.1
18097310312,2025,-8.3873226709872559E-2,High,-0.22778959429493445,-0.3903388941193958,44.4,41
18097310312,2026,-9.8621800184655439E-2,High,-0.2401267364826866,-0.6304656306020824,35.3,37.6
18097310312,2027,-0.11146953305530773,High,-0.310479043858232,-0.9409446744603144,34.2,37.2
18097310312,2028,-9.7361604646030275E-2,High,-0.23519401497643205,-1.1761386894367465,36.5,36.8
18097320105,2024,-0.17871825090232435,High,-0.7730677914262688,-0.7730677914262688,19.5,19.5
18097320105,2025,9.201296457164063E-3,High,0.16091030254527486,-0.612157488880994,56.4,35
18097320105,2026,-1.4472959311262107E-2,High,0.09845152749072988,-0.513705961390264,52.3,39.8
18097320105,2027,0.10448554369341938,High,0.5705130525905392,0.05680709120027513,70.7,49.2
18097320105,2028,0.1070056007713822,High,0.5686833797592098,0.625490470959485,72.9,54.1
18097320106,2024,-0.12116454215900396,High,-0.5093067318295683,-0.5093067318295683,28.2,28.2
18097320106,2025,-0.32528909714073651,High,-1.2359959298101728,-1.7453026616397411,7.9,15.8
18097320106,2026,-0.28513436627557642,High,-0.9905720210624528,-2.7358746827021942,13.5,13.2
18097320106,2027,-0.20361466939360406,High,-0.6863865615809522,-3.4222612442831464,20.7,15.4
18097320106,2028,-0.15800355747440695,High,-0.47372883738979193,-3.895990081672938,26.3,16.5
18097320107,2024,-6.7212525565108844E-2,High,-0.26205175252580426,-0.26205175252580426,38.3,38.3
18097320107,2025,-0.28263595778170081,High,-1.0578669391408984,-1.3199186916667025,12,21.4
18097320107,2026,-9.0792192827913204E-2,High,-0.20862380858819832,-1.528542500254901,37.6,26.3
18097320107,2027,-0.22616120569814172,High,-0.7783655073211571,-2.306908007576058,17.7,21.8
18097320107,2028,-0.1663684922543405,High,-0.5066322670975684,-2.813540274673626,24.4,22.9
18097320108,2024,3.4836242556194393E-2,High,0.20562429820892497,0.20562429820892497,59,59
18097320108,2025,0.19892022208879828,High,0.953218705665504,1.158843003874429,82.3,72.6
18097320108,2026,-0.14876570452973042,High,-0.4418839550705024,0.7169590488039266,27.8,59.8
18097320108,2027,9.0930441384213578E-2,High,0.5152148017656246,1.2321738505695512,68.8,64.7
18097320108,2028,-9.0541096126283777E-2,High,-0.20836557834724023,1.023808272222311,37.2,60.5
18097320109,2024,-0.33444335063630404,Low,-1.4867353935406742,-1.4867353935406742,6.4,6.4
18097320109,2025,-0.26413952856220818,Low,-0.9806217394354296,-2.4673571329761037,13.9,7.9
18097320109,2026,-0.41880439813366038,Low,-1.5284019764372891,-3.9957591094133926,7.9,8.6
18097320109,2027,-0.35358673930850759,Low,-1.298199954774874,-5.293959064188266,9,7.9
18097320109,2028,-0.43155482440574111,Low,-1.5497413969306144,-6.843700461118881,7.9,8.3
18097320202,2024,-0.13193377301709835,High,-0.5586606970942677,-0.5586606970942677,26.3,26.3
18097320202,2025,-0.15762989654325438,High,-0.5358138417472857,-1.0944745388415535,27.1,25.9
18097320202,2026,-0.1704655624550398,High,-0.5291947266576613,-1.6236692654992146,25.6,24.8
18097320202,2027,-0.18883575854909004,High,-0.6260957647904357,-2.2497650302896504,24.1,23.7
18097320202,2028,-0.16035286949234223,High,-0.4829698446274338,-2.7327348749170843,25.9,24.1
18097320206,2024,0.1664424167995931,High,0.8087580445104705,0.8087580445104705,78.9,78.9
18097320206,2025,4.4124583496847961E-2,High,0.306757711779747,1.1155157562902174,63.2,71.8
18097320206,2026,4.1011145057454262E-2,High,0.3216953837375913,1.437211140027809,61.3,71.1
18097320206,2027,4.2483238552800034E-2,High,0.31757368384373513,1.754784823871544,62,66.9
18097320206,2028,3.9253882759511374E-2,High,0.3021823310561867,2.0569671549277304,62.4,67.7
18097320301,2024,-0.1227477725867698,High,-0.5165624681553654,-0.5165624681553654,27.4,27.4
18097320301,2025,-0.13108263983169979,High,-0.42494659694117554,-0.941509065096541,31.6,27.8
18097320301,2026,-0.12067849845998024,High,-0.32887327812882555,-1.2703823432253665,33.1,30.1
18097320301,2027,-0.17058778087429718,High,-0.5516528558776177,-1.822035199102984,26.3,28.9
18097320301,2028,-0.15025929686702058,High,-0.4432668264790669,-2.2653020255820513,29.3,27.4
18097320305,2024,-0.3747791357748933,High,-1.67158897917609,-1.67158897917609,5.6,5.6
18097320305,2025,-0.29962763948408566,High,-1.1288279787478976,-2.8004169579239875,9.4,6.4
18097320305,2026,-0.42158550981270826,High,-1.5395919578373296,-4.3400089157613175,7.5,6.8
18097320305,2027,-0.34747919299252183,High,-1.2732841245286652,-5.6132930402899825,9.4,7.1
18097320305,2028,-0.42208224985567999,High,-1.5124810716490245,-7.125774111939007,8.3,7.9
18097320306,2024,-1.6988172780009712E-2,High,-0.03188016502244113,-0.03188016502244113,48.1,48.1
18097320306,2025,-7.4426682096078334E-2,High,-0.1883387242615902,-0.22021888928403133,46.6,45.5
18097320306,2026,-7.8724818376258207E-2,High,-0.16006995270436328,-0.38028884198839463,39.5,42.5
18097320306,2027,-9.0149039606780931E-2,High,-0.22350175902970745,-0.6037906010181021,41.7,41
18097320306,2028,-6.4416160939685232E-2,High,-0.10560327461780349,-0.7093938756359055,41.7,40.2
18097320400,2024,1.2695190537446516E-2,High,0.1041547757651888,0.1041547757651888,54.5,54.5
18097320400,2025,-3.8560166380251372E-2,High,-0.03855218241984638,0.06560259334534241,50,52.3
18097320400,2026,-5.8983629259460199E-2,High,-0.0806400108232537,-0.01503741747791129,42.1,50
18097320400,2027,-5.4896408408659322E-2,High,-0.07968810142949745,-0.09472551890740874,48.1,48.1
18097320400,2028,-6.1732761197045204E-2,High,-0.09504813496248592,-0.18977365386989467,42.1,46.6
18097320500,2024,-1.313016768108499E-2,High,-0.01419943627288059,-0.01419943627288059,48.9,48.9
18097320500,2025,-2.7272940845575494E-2,High,0.00858578027556194,-0.00561365599731865,51.1,50.4
18097320500,2026,-0.15444749567370661,High,-0.4647450065338416,-0.47035866253116027,27.1,40.2
18097320500,2027,-6.401712002002527E-2,High,-0.11689618639131254,-0.5872548489224728,46.2,42.1
18097320500,2028,-0.11691340833996017,High,-0.3121009383928244,-0.8993557873152972,33.1,39.1
18097320600,2024,-0.19866077988365166,High,-0.8644617726310557,-0.8644617726310557,16.5,16.5
18097320600,2025,-0.24678590210868159,High,-0.9081491380965676,-1.7726109107276231,15.8,15.4
18097320600,2026,-0.27394259126577425,High,-0.9455411957501816,-2.718152106477805,15,14.3
18097320600,2027,-0.27928717154220106,High,-0.9950937117674994,-3.713245818245305,13.5,13.9
18097320600,2028,-0.27926686147586188,High,-0.950717445706986,-4.66396326395229,15,13.5
18097320700,2024,-0.14338955136875858,High,-0.6111610190112202,-0.6111610190112202,24.1,24.1
18097320700,2025,-0.14908985584456708,High,-0.5001487335561478,-1.111309752567368,28.6,25.6
18097320700,2026,-0.14694266130747896,High,-0.4345488236185186,-1.5458585761858863,28.2,25.6
18097320700,2027,-0.13526633448091754,High,-0.40755846561739967,-1.953417041803286,30.8,26.7
18097320700,2028,-0.11641333275101046,High,-0.310133893529659,-2.2635509353329453,33.5,27.8
18097320800,2024,-0.15716065392566847,High,-0.67427216652084,-0.67427216652084,21.8,21.8
18097320800,2025,-0.16396667146166169,High,-0.5622776223101378,-1.2365497888309778,25.9,22.9
18097320800,2026,-7.4985560659220005E-2,High,-0.14502480920335167,-1.3815745980343297,39.8,28.9
18097320800,2027,-0.14982109944512728,High,-0.4669348558008911,-1.8485094538352205,29.3,28.2
18097320800,2028,-0.14170132209104019,High,-0.4096040748987573,-2.2581135287339777,30.5,28.2
18097320901,2024,-0.23121165990515427,High,-1.0136381644352248,-1.0136381644352248,12,12
18097320901,2025,-0.17737254792256721,High,-0.618263542195592,-1.6319017066308168,23.3,17.7
18097320901,2026,-0.22509266221560914,High,-0.7489903698402429,-2.38089207647106,17.7,16.9
18097320901,2027,-0.19988158623441038,High,-0.6711573907360254,-3.0520494672070853,21.1,18.4
18097320901,2028,-0.1975936088604644,High,-0.6294561092907388,-3.681505576497824,19.5,17.7
18097320902,2024,-7.4756911989959998E-2,High,-0.2966266808992368,-0.2966266808992368,36.1,36.1
18097320902,2025,-0.16860345201194266,High,-0.5816418485262674,-0.8782685294255043,24.4,29.3
18097320902,2026,-0.18422629262631296,High,-0.5845619080001367,-1.462830437425641,23.7,27.1
18097320902,2027,-0.19158605178197799,High,-0.6373156288360959,-2.100146066261737,23.7,25.6
18097320902,2028,-0.18897541671151269,High,-0.5955564929707899,-2.6957025592325268,21.1,24.4
18097320903,2024,-3.1592045472166735E-2,High,-0.09880778827392632,-0.09880778827392632,45.1,45.1
18097320903,2025,0.2139745275622584,High,1.0160888315111487,0.9172810432372224,84.6,68.8
18097320903,2026,-2.0126027161214997E-2,High,0.07570604604505302,0.9929870892822754,51.1,64.7
18097320903,2027,0.13264341150885575,High,0.6853835125571391,1.6783706018394144,76.3,66.2
18097320903,2028,1.6834518567095284E-2,High,0.2139958725594878,1.8923664743989024,59.4,65.4
18097321001,2024,-0.1010337477014747,High,-0.417049954767264,-0.417049954767264,31.6,31.6
18097321001,2025,9.9926771122078081E-2,High,0.5398000507069993,0.12275009593973536,68.8,53
18097321001,2026,0.13624853291662659,High,0.7048891284409364,0.8276392243806718,77.8,61.7
18097321001,2027,0.31472419514282618,High,1.4281849030675022,2.255824127448174,94.7,73.7
18097321001,2028,0.24787620920953957,High,1.1227972233908077,3.3786213508389813,89.1,76.7
18097321002,2024,-0.17138098669454771,High,-0.7394420768678005,-0.7394420768678005,20.7,20.7
18097321002,2025,5.6297606065031217E-2,High,0.35759495977718975,-0.3818471170906107,65,41.7
18097321002,2026,-4.5480758799803248E-2,High,-0.02631034458617412,-0.4081574616767849,46.2,42.1
18097321002,2027,1.3100119203166123E-2,High,0.1977047911751074,-0.21045267050167749,57.1,46.6
18097321002,2028,-3.707960035859087E-2,High,0.00192495162612619,-0.2085277188755513,50,46.2
18097321100,2024,-0.21203332268677572,High,-0.9257463733330668,-0.9257463733330668,13.9,13.9
